site,x,y,z,dG,dH,-TdS,occupancy,potential_energy
HS1,-18.017,14.817,-13.628,0.04,-3.69,3.73,1.0,-23.36
HS2,-11.517,-0.183,-0.628,-2.57,-2.58,0.01,0.95,-22.25
HS3,-22.017,14.317,-12.128,2.24,-3.98,6.22,0.91,-23.65
HS4,-22.017,10.817,4.872,2.95,-2.04,4.99,0.88,-21.71
HS5,-23.517,15.317,-9.128,-1.64,-3.31,1.67,0.92,-22.98
HS6,-24.017,15.317,-13.628,-0.12,-0.48,0.36,0.9,-20.15
HS7,-23.517,5.317,-8.628,2.27,-3.42,5.69,0.99,-23.09
HS8,-25.017,3.317,-9.128,4.68,-1.34,6.02,1.0,-21.01
HS9,-28.517,15.317,3.372,-2.1,-2.16,0.06,0.87,-21.83
HS10,-19.517,13.317,-11.628,3.72,-1.04,4.76,0.88,-20.71
HS11,-17.017,4.817,-2.628,5.96,1.58,4.38,0.63,-18.09
HS12,-24.517,1.817,4.872,1.72,-1.26,2.98,0.57,-20.93
HS13,-22.017,10.317,-10.628,3.81,-0.76,4.57,0.91,-20.43
HS14,-18.017,4.317,-0.128,2.26,-1.28,3.54,0.69,-20.95
HS15,-29.017,1.317,-9.628,1.25,-2.74,3.99,0.79,-22.41
HS16,-17.017,7.317,-7.128,1.65,-2.4,4.05,0.79,-22.07
HS17,-20.017,6.317,-5.628,1.12,-2.96,4.08,0.61,-22.63
HS18,-13.017,3.817,4.372,1.92,-2.93,4.85,0.93,-22.6
HS19,-26.517,14.317,7.372,1.82,-3.59,5.41,0.93,-23.26
HS20,-22.517,12.317,-9.128,1.6,-1.19,2.79,0.57,-20.86
HS21,-17.517,5.317,-5.128,1.05,-2.9,3.95,0.66,-22.57
HS22,-12.517,5.817,-8.628,7.18,3.72,3.46,0.77,-15.95
HS23,-25.517,6.817,-8.128,1.62,-2.09,3.71,0.56,-21.76
HS24,-13.017,1.317,6.372,1.35,-1.46,2.81,0.55,-21.13
HS25,-27.517,8.317,-0.628,1.47,-0.32,1.79,0.59,-19.99
HS26,-25.017,11.817,-8.128,1.52,-0.83,2.35,0.6,-20.5
HS27,-20.517,2.317,5.372,2.85,0.9,1.95,0.33,-18.77
HS28,-25.517,14.817,-10.628,1.33,-1.25,2.58,0.48,-20.92
HS29,-20.017,10.317,-4.128,2.6,-0.42,3.02,0.63,-20.09
HS30,-16.517,6.317,-9.628,4.8,2.7,2.1,0.5,-16.97
HS31,-11.517,1.317,1.872,-0.42,-0.65,0.23,0.42,-20.32
HS32,-21.017,7.817,-3.628,1.47,-0.64,2.11,0.68,-20.31
HS33,-24.517,9.317,4.372,1.08,-1.12,2.2,0.49,-20.79
HS34,-14.517,7.817,-7.628,2.42,0.22,2.2,0.5,-19.45
HS35,-20.017,0.317,7.872,0.31,-0.65,0.96,0.48,-20.32
HS36,-20.517,5.817,-1.128,2.28,-0.11,2.39,0.62,-19.78
HS37,-24.017,7.817,-6.128,2.43,0.18,2.25,0.41,-19.49
HS38,-11.517,-0.683,4.372,-1.24,-1.74,0.5,0.5,-21.41
HS39,-17.517,-0.683,7.372,-0.23,-0.91,0.68,0.53,-20.58
HS40,-23.517,8.817,1.872,1.24,-0.61,1.85,0.47,-20.28
HS41,-14.017,8.317,-10.628,5.02,2.89,2.13,0.57,-16.78
HS42,-30.017,4.317,-1.128,0.81,-0.38,1.19,0.43,-20.05
HS43,-24.017,8.817,-9.128,1.62,-0.02,1.64,0.42,-19.69
HS44,-21.517,9.317,-6.628,0.97,-1.62,2.59,0.47,-21.29
HS45,-29.017,14.317,5.872,0.05,-1.3,1.35,0.39,-20.97
HS46,-29.517,9.817,-14.128,0.49,0.43,0.06,0.55,-19.24
HS47,-23.517,10.817,7.372,1.56,0.14,1.42,0.47,-19.53
HS48,-30.017,6.817,-12.628,0.73,0.06,0.67,0.38,-19.61
HS49,-29.017,11.317,1.872,0.93,-0.22,1.15,0.45,-19.89
HS50,-29.017,12.817,-8.628,1.25,-0.08,1.33,0.38,-19.75
HS51,-20.017,5.317,1.372,1.74,0.24,1.5,0.23,-19.43
HS52,-23.517,13.317,-6.628,0.82,-0.22,1.04,0.21,-19.89
HS53,-27.517,0.317,4.372,1.02,-0.12,1.14,0.31,-19.79
HS54,-26.517,13.817,-0.128,2.53,0.7,1.83,0.43,-18.97
HS55,-27.017,11.317,-3.628,1.08,-0.1,1.18,0.31,-19.77
HS56,-24.017,8.817,-3.128,1.18,-0.62,1.8,0.35,-20.29
HS57,-22.517,5.817,2.872,1.49,0.27,1.22,0.29,-19.4
HS58,-22.517,10.817,-3.628,0.99,-0.58,1.57,0.28,-20.25
HS59,-22.517,6.817,0.372,2.01,0.52,1.49,0.25,-19.15
HS60,-21.517,8.817,7.872,0.91,0.29,0.62,0.24,-19.38
HS61,-29.517,6.817,0.372,0.23,-0.34,0.57,0.31,-20.01
HS62,-30.517,7.817,-10.128,0.05,0.02,0.03,0.27,-19.65
HS63,-26.517,6.817,2.372,1.03,0.11,0.92,0.21,-19.56
HS64,-26.017,13.817,-2.628,1.2,0.5,0.7,0.24,-19.17
HS65,-25.017,8.817,-0.628,0.64,-0.38,1.02,0.23,-20.05
HS66,-25.517,12.817,-5.128,0.89,0.06,0.83,0.34,-19.61
HS67,-22.017,5.317,5.372,1.55,0.52,1.03,0.31,-19.15
HS68,-30.517,8.317,-7.128,0.07,0.07,0.0,0.4,-19.6
HS69,-23.517,1.817,7.872,0.34,0.03,0.31,0.2,-19.64
HS70,-30.517,2.817,1.372,-0.16,-0.28,0.12,0.24,-19.95
HS71,-28.517,11.817,8.372,-0.17,-0.26,0.09,0.17,-19.93
HS72,-30.517,-0.183,-11.128,-0.03,-0.03,0.0,0.24,-19.7
HS73,-27.517,3.317,2.872,1.13,0.46,0.67,0.2,-19.21
HS74,-26.517,10.817,6.872,0.59,-0.02,0.61,0.23,-19.69
HS75,-27.017,14.317,-8.128,0.13,-0.71,0.84,0.23,-20.38
HS76,-25.017,4.817,4.372,0.7,0.02,0.68,0.2,-19.65
HS77,-29.517,10.317,-1.628,0.18,-0.13,0.31,0.18,-19.8
HS78,-15.017,0.317,7.872,0.18,-0.12,0.3,0.14,-19.79
HS79,-21.017,5.817,7.872,0.66,0.11,0.55,0.22,-19.56
HS80,-27.517,15.317,-5.628,-0.02,-0.16,0.14,0.23,-19.83
HS81,-25.517,11.317,-1.128,0.72,0.2,0.52,0.2,-19.47
